t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
92400,109851,103952,0.00231912,0,0.00122111,6.83022e-05,0,0,0.0008633,8.78568e-06,2.70687,0.00938335
93000,109851,103952,0.00231909,0,0.00122156,6.83974e-05,0,0,0.000861821,8.82246e-06,2.69592,0.00938334
93600,109851,103952,0.00231906,0,0.001222,6.84932e-05,0,0,0.000860347,8.85882e-06,2.68497,0.00938334
94200,109851,103952,0.00231903,0,0.00122243,6.85897e-05,0,0,0.000858877,8.89493e-06,2.67401,0.00938334
94800,109851,103952,0.002319,0,0.00122283,6.86869e-05,0,0,0.000857413,8.93074e-06,2.66302,0.00938333
95400,109851,103952,0.00231897,0,0.00122319,6.87847e-05,0,0,0.000855955,8.96645e-06,2.65198,0.00938333
96000,109851,103952,0.00231894,0,0.00122352,6.88832e-05,0,0,0.000854503,9.00177e-06,2.64089,0.00938332
96600,109851,103952,0.00231891,0,0.0012238,6.89823e-05,0,0,0.000853057,9.03679e-06,2.62977,0.00938332
97200,109851,103952,0.00231888,0,0.00122401,6.9082e-05,0,0,0.000851618,9.07154e-06,2.61867,0.00938331
97800,109851,103952,0.00231885,0,0.00122417,6.91824e-05,0,0,0.000850186,9.10591e-06,2.60761,0.00938331
98400,109851,103952,0.00231882,0,0.00122426,6.92834e-05,0,0,0.00084876,9.13988e-06,2.59657,0.0093833
99000,109851,103952,0.00231879,0,0.00122428,6.9385e-05,0,0,0.000847342,9.17346e-06,2.58553,0.0093833
99600,109851,103952,0.00231876,0,0.00122423,6.94872e-05,0,0,0.000845931,9.20678e-06,2.57452,0.00938329
100200,109851,103952,0.00231872,0,0.00122413,6.959e-05,0,0,0.000844528,9.24009e-06,2.56354,0.00938329
100800,109851,103952,0.00231869,0,0.00122396,6.96935e-05,0,0,0.000843133,9.27316e-06,2.55261,0.00938328
101400,109851,103952,0.00231866,0,0.00122375,6.97975e-05,0,0,0.000841745,9.3059e-06,2.54179,0.00938328
102000,109851,103952,0.00231862,0,0.00122349,6.99022e-05,0,0,0.000840367,9.33837e-06,2.53106,0.00938328
102600,109851,103952,0.00231859,0,0.0012232,7.00074e-05,0,0,0.000838996,9.37054e-06,2.52045,0.00938327
103200,109851,103952,0.00231855,0,0.00122288,7.01132e-05,0,0,0.000837634,9.40255e-06,2.50992,0.00938327
103800,109851,103952,0.00231851,0,0.00122253,7.02196e-05,0,0,0.000836281,9.43438e-06,2.4995,0.00938326
104400,109851,103952,0.00231848,0,0.00122217,7.03266e-05,0,0,0.000834936,9.46587e-06,2.48914,0.00938326
105000,109851,103952,0.00231844,0,0.00122179,7.04341e-05,0,0,0.0008336,9.49702e-06,2.47886,0.00938325
105600,109851,103952,0.0023184,0,0.0012214,7.05423e-05,0,0,0.000832273,9.52801e-06,2.46869,0.00938325
106200,109851,103952,0.00231837,0,0.001221,7.06509e-05,0,0,0.000830955,9.55867e-06,2.45867,0.00938324
106800,109851,103952,0.00231833,0,0.0012206,7.07602e-05,0,0,0.000829646,9.58897e-06,2.44872,0.00938324
107400,109851,103952,0.00231829,0,0.00122019,7.087e-05,0,0,0.000828346,9.61895e-06,2.43886,0.00938323
108000,109851,103952,0.00231825,0,0.00121979,7.09803e-05,0,0,0.000827056,9.64873e-06,2.42908,0.00938323
108600,109851,103952,0.00231821,0,0.00121939,7.10912e-05,0,0,0.000825774,9.67831e-06,2.41935,0.00938322
109200,109851,103952,0.00231817,0,0.00121899,7.12027e-05,0,0,0.000824502,9.70753e-06,2.40967,0.00938322
109800,109851,103952,0.00231813,0,0.0012186,7.13146e-05,0,0,0.000823239,9.73643e-06,2.40009,0.00938321
110400,109851,103952,0.00231809,0,0.00121821,7.14271e-05,0,0,0.000821985,9.76501e-06,2.3906,0.00938321
111000,109851,103952,0.00231805,0,0.00121784,7.15401e-05,0,0,0.00082074,9.79323e-06,2.38117,0.0093832
111600,109851,103952,0.00231801,0,0.00121747,7.16537e-05,0,0,0.000819505,9.82113e-06,2.37179,0.00938319
112200,109851,103952,0.00231797,0,0.00121712,7.17678e-05,0,0,0.000818279,9.84869e-06,2.36243,0.00938319
112800,109851,103952,0.00231792,0,0.00121678,7.18823e-05,0,0,0.000817061,9.87594e-06,2.35311,0.00938318
113400,109851,103952,0.00231788,0,0.00121646,7.19974e-05,0,0,0.000815853,9.90321e-06,2.34383,0.00938318
114000,109851,103952,0.00231784,0,0.00121615,7.2113e-05,0,0,0.000814655,9.93021e-06,2.33458,0.00938317
114600,109851,103952,0.00231779,0,0.00121586,7.22291e-05,0,0,0.000813465,9.95695e-06,2.3254,0.00938317
115200,109851,103952,0.00231775,0,0.00121558,7.23457e-05,0,0,0.000812285,9.98345e-06,2.31623,0.00938316
115800,109851,103952,0.0023177,0,0.00121533,7.24628e-05,0,0,0.000811113,1.00098e-05,2.30708,0.00938316
116400,109851,103952,0.00231766,0,0.00121509,7.25803e-05,0,0,0.000809951,1.00359e-05,2.29796,0.00938315
117000,109851,103952,0.00231761,0,0.00121488,7.26984e-05,0,0,0.000808798,1.00618e-05,2.28888,0.00938314
117600,109851,103952,0.00231757,0,0.00121469,7.28169e-05,0,0,0.000807653,1.00874e-05,2.27988,0.00938314
118200,109851,103952,0.00231752,0,0.00121452,7.29359e-05,0,0,0.000806518,1.0113e-05,2.27094,0.00938313
118800,109851,103952,0.00231747,0,0.00121437,7.30553e-05,0,0,0.000805392,1.01383e-05,2.26207,0.00938313
119400,109851,103952,0.00231743,0,0.00121424,7.31752e-05,0,0,0.000804274,1.01634e-05,2.25328,0.00938312
120000,109851,103952,0.00231738,0,0.00121414,7.32956e-05,0,0,0.000803165,1.01881e-05,2.24453,0.00938312
120600,109851,103952,0.00231733,0,0.00121405,7.34164e-05,0,0,0.000802065,1.02126e-05,2.23583,0.00938311
121200,109851,103952,0.00231728,0,0.00121399,7.35377e-05,0,0,0.000800973,1.02368e-05,2.2272,0.0093831
121800,109851,103952,0.00231723,0,0.00121394,7.36594e-05,0,0,0.00079989,1.02607e-05,2.21863,0.0093831
122400,109851,103952,0.00231718,0,0.00121391,7.37816e-05,0,0,0.000798815,1.02843e-05,2.21013,0.00938309
123000,109851,103952,0.00231713,0,0.0012139,7.39042e-05,0,0,0.000797748,1.03076e-05,2.20171,0.00938309
123600,109851,103952,0.00231708,0,0.0012139,7.40273e-05,0,0,0.00079669,1.03306e-05,2.19335,0.00938308
124200,109851,103952,0.00231703,0,0.00121392,7.41507e-05,0,0,0.00079564,1.03534e-05,2.18508,0.00938307
124800,109851,103952,0.00231698,0,0.00121395,7.42746e-05,0,0,0.000794597,1.03759e-05,2.1769,0.00938307
125400,109851,103952,0.00231693,0,0.00121399,7.43989e-05,0,0,0.000793563,1.03983e-05,2.16877,0.00938306
126000,109851,103952,0.00231688,0,0.00121405,7.45237e-05,0,0,0.000792537,1.04205e-05,2.16072,0.00938306
126600,109851,103952,0.00231682,0,0.00121411,7.46488e-05,0,0,0.000791519,1.04425e-05,2.15272,0.00938305
127200,109851,103952,0.00231677,0,0.00121418,7.47744e-05,0,0,0.000790509,1.04643e-05,2.14481,0.00938304
